@ref(networkElement)|@const(IpagTunnel)class
@index(Tunnel)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_name|device_model|device_type|ptnii|tunnel_alias|tunnel_head_ptnii|tunnel_name|tunnel_type|tunnel_tail_dns|tunnel_tail_ptnii
12.82.0.59/AN1CA302IA2_RSACA301IA1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_RSACA301IA1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_RSACA301IA1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_RSACA301IA1_P_2_5_1_PRIORITY|P|RSACA301IA1|rsaca301ia1
12.82.0.59/AN1CA302IA2_GR2CA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA303IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA303IA2_P_2_15_2_DEFAULT|P|GR2CA303IA2|gr2ca303ia2
12.82.0.59/AN1CA302IA2_LA2CA302VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LA2CA302VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LA2CA302VR1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LA2CA302VR1_P_2_15_2_DEFAULT|P|LA2CA302VR1|la2ca302vr1
12.82.0.59/AN1CA302IA2_ALACA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_ALACA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_ALACA302IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_ALACA302IA2_P_2_5_1_PRIORITY|P|ALACA302IA2|alaca302ia2
12.82.0.59/AN1CA302IA2_GR2CA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA302IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA302IA2_P_2_5_1_PRIORITY|P|GR2CA302IA2|gr2ca302ia2
12.82.0.59/AN1CA302IA2_SNZCA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SNZCA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SNZCA303IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SNZCA303IA2_P_2_15_2_DEFAULT|P|SNZCA303IA2|snzca303ia2
12.82.0.59/AN1CA302IA2_LSDCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSDCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSDCA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSDCA301IA2_P_2_15_2_DEFAULT|P|LSDCA301IA2|lsdca301ia2
12.82.0.59/AN1CA302IA2_GR2CA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA302IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA302IA2_P_2_15_2_DEFAULT|P|GR2CA302IA2|gr2ca302ia2
12.82.0.59/AN1CA302IA2_GR2CA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GR2CA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA301IA2_P_2_15_2_DEFAULT|P|GR2CA301IA2|gr2ca301ia2
12.82.0.59/AN1CA302IA2_IRACA301IB1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_IRACA301IB1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_IRACA301IB1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_IRACA301IB1_P_2_5_1_PRIORITY|P|IRACA301IB1|iraca301ib1
12.82.0.59/AN1CA302IA2_LSDCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSDCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSDCA302IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSDCA302IA2_P_2_15_2_DEFAULT|P|LSDCA302IA2|lsdca302ia2
12.82.0.59/AN1CA302IA2_GLACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GLACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_GLACA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GLACA301IA2_P_2_15_2_DEFAULT|P|GLACA301IA2|glaca301ia2
12.82.0.59/AN1CA302IA2_CSACA301IA1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_CSACA301IA1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_CSACA301IA1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_CSACA301IA1_P_2_5_1_PRIORITY|P|CSACA301IA1|csaca301ia1
12.82.0.59/AN1CA302IA2_IRACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_IRACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_IRACA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_IRACA301IA2_P_2_15_2_DEFAULT|P|IRACA301IA2|iraca301ia2
12.82.0.59/AN1CA302IA2_IRACA301IB1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_IRACA301IB1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_IRACA301IB1_B_2_1_1_BYPASS|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_IRACA301IB1_B_2_1_1_BYPASS|B|IRACA301IB1|iraca301ib1
12.82.0.59/AN1CA302IA2_LA2CA301VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LA2CA301VR1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LA2CA301VR1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LA2CA301VR1_P_2_15_2_DEFAULT|P|LA2CA301VR1|la2ca301vr1
12.82.0.59/AN1CA302IA2_ALACA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_ALACA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_ALACA302IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_ALACA302IA2_P_2_15_2_DEFAULT|P|ALACA302IA2|alaca302ia2
