@ref(networkElement)|@const(IpagCard)class
@index(PE_Card)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|card_type
143.0.68.170/2/1|143.0.68.170/2/1|143.0.68.170/2/1|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
143.0.68.248/1/0|143.0.68.248/1/0|143.0.68.248/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.27/1/0|12.123.80.27/1/0|12.123.80.27/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.198/3/0|143.0.24.198/3/0|143.0.24.198/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
149.0.3.222/4/1|149.0.3.222/4/1|149.0.3.222/4/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.33/1/1|12.80.72.33/1/1|12.80.72.33/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
8.8.0.148/2/0|8.8.0.148/2/0|8.8.0.148/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.215/0/0|150.0.0.215/0/0|150.0.0.215/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.172/5/1|8.8.0.172/5/1|8.8.0.172/5/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.65/0/1|10.144.0.65/0/1|10.144.0.65/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
10.144.0.65/7/1|10.144.0.65/7/1|10.144.0.65/7/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
12.123.80.214/2/1|12.123.80.214/2/1|12.123.80.214/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.65/0/3|10.144.0.65/0/3|10.144.0.65/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
12.80.4.13/0/0|12.80.4.13/0/0|12.80.4.13/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.137/4/3|10.144.0.137/4/3|10.144.0.137/4/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.110/0/3|143.0.68.110/0/3|143.0.68.110/0/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
150.0.0.89/2/2|150.0.0.89/2/2|150.0.0.89/2/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.241/4/1|143.0.68.241/4/1|143.0.68.241/4/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.240/0/2|143.0.68.240/0/2|143.0.68.240/0/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
148.0.131.182/4/0|148.0.131.182/4/0|148.0.131.182/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
12.82.0.62/1/3|12.82.0.62/1/3|12.82.0.62/1/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.33/0/2|12.80.72.33/0/2|12.80.72.33/0/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.35/1/0|143.0.68.35/1/0|143.0.68.35/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.27/4/0|12.123.80.27/4/0|12.123.80.27/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.147/1/2|10.144.0.147/1/2|10.144.0.147/1/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.0.62/3/0|12.82.0.62/3/0|12.82.0.62/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.206/0/0|149.0.3.206/0/0|149.0.3.206/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.194/0/0|149.0.3.194/0/0|149.0.3.194/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
143.0.68.248/1/3|143.0.68.248/1/3|143.0.68.248/1/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.15/2/0|12.123.80.15/2/0|12.123.80.15/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.24.144/3/0|143.0.24.144/3/0|143.0.24.144/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
149.0.3.222/2/2|149.0.3.222/2/2|149.0.3.222/2/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.242/3/0|143.0.68.242/3/0|143.0.68.242/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/3/1|10.144.0.147/3/1|10.144.0.147/3/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.15/1/0|12.123.80.15/1/0|12.123.80.15/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.65/2/0|10.144.0.65/2/0|10.144.0.65/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.0.53/5/0|12.82.0.53/5/0|12.82.0.53/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.155/5/2|10.144.0.155/5/2|10.144.0.155/5/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
143.0.68.172/4/1|143.0.68.172/4/1|143.0.68.172/4/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.110/2/0|143.0.68.110/2/0|143.0.68.110/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.172/1/1|143.0.68.172/1/1|143.0.68.172/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
12.123.80.27/3/1|12.123.80.27/3/1|12.123.80.27/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.27/1/2|12.123.80.27/1/2|12.123.80.27/1/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.82.0.62/2/1|12.82.0.62/2/1|12.82.0.62/2/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.233/5/0|150.0.0.233/5/0|150.0.0.233/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
8.8.0.148/1/0|8.8.0.148/1/0|8.8.0.148/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.222/2/0|149.0.3.222/2/0|149.0.3.222/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.122/5/0|12.123.80.122/5/0|12.123.80.122/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.29/1/1|12.123.80.29/1/1|12.123.80.29/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.33/0/3|12.80.72.33/0/3|12.80.72.33/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.27/2/0|12.123.80.27/2/0|12.123.80.27/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.155/4/0|10.144.0.155/4/0|10.144.0.155/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|MIC3-3D-2X40GE-QSFPP
12.123.80.122/2/1|12.123.80.122/2/1|12.123.80.122/2/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.9.0.27/2/0|149.9.0.27/2/0|149.9.0.27/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
148.0.131.182/1/0|148.0.131.182/1/0|148.0.131.182/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.196/2/0|149.0.3.196/2/0|149.0.3.196/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.212/0/1|150.0.0.212/0/1|150.0.0.212/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.137/0/1|10.144.0.137/0/1|10.144.0.137/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
143.0.68.169/2/0|143.0.68.169/2/0|143.0.68.169/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.202/0/0|12.123.80.202/0/0|12.123.80.202/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.137/5/0|10.144.0.137/5/0|10.144.0.137/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
143.0.68.170/4/1|143.0.68.170/4/1|143.0.68.170/4/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.65/3/2|10.144.0.65/3/2|10.144.0.65/3/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
143.0.68.175/0/3|143.0.68.175/0/3|143.0.68.175/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
149.8.0.17/1/0|149.8.0.17/1/0|149.8.0.17/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.80.84.29/4/0|12.80.84.29/4/0|12.80.84.29/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.247/5/0|143.0.68.247/5/0|143.0.68.247/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
150.0.0.10/2/0|150.0.0.10/2/0|150.0.0.10/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.216/1/0|150.0.0.216/1/0|150.0.0.216/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.9.0.6/2/0|149.9.0.6/2/0|149.9.0.6/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.184/0/0|143.0.68.184/0/0|143.0.68.184/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.168/5/1|150.0.0.168/5/1|150.0.0.168/5/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.170/5/1|143.0.68.170/5/1|143.0.68.170/5/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.169/2/2|143.0.68.169/2/2|143.0.68.169/2/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.172/4/0|143.0.68.172/4/0|143.0.68.172/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.198/2/0|149.0.3.198/2/0|149.0.3.198/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.144/4/0|143.0.24.144/4/0|143.0.24.144/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
12.123.80.214/4/2|12.123.80.214/4/2|12.123.80.214/4/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.17/1/0|12.123.80.17/1/0|12.123.80.17/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.222/2/1|149.0.3.222/2/1|149.0.3.222/2/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.100.7/4/0|12.82.100.7/4/0|12.82.100.7/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.222/1/0|149.0.3.222/1/0|149.0.3.222/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
149.0.3.194/0/2|149.0.3.194/0/2|149.0.3.194/0/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
10.144.0.65/7/3|10.144.0.65/7/3|10.144.0.65/7/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
149.0.3.134/5/0|149.0.3.134/5/0|149.0.3.134/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
10.144.0.154/2/3|10.144.0.154/2/3|10.144.0.154/2/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.17/1/1|12.123.80.17/1/1|12.123.80.17/1/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.154/2/1|10.144.0.154/2/1|10.144.0.154/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.144/2/2|143.0.24.144/2/2|143.0.24.144/2/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
149.0.3.222/5/0|149.0.3.222/5/0|149.0.3.222/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.196/0/0|149.0.3.196/0/0|149.0.3.196/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.201/2/0|12.123.80.201/2/0|12.123.80.201/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.134/0/0|149.0.3.134/0/0|149.0.3.134/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
8.8.1.5/2/0|8.8.1.5/2/0|8.8.1.5/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.89/1/1|150.0.0.89/1/1|150.0.0.89/1/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.196/0/3|149.0.3.196/0/3|149.0.3.196/0/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.155/0/1|10.144.0.155/0/1|10.144.0.155/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
12.123.80.27/5/0|12.123.80.27/5/0|12.123.80.27/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.232/0/0|150.0.0.232/0/0|150.0.0.232/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.137/1/0|10.144.0.137/1/0|10.144.0.137/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.222/2/3|149.0.3.222/2/3|149.0.3.222/2/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.214/2/0|12.123.80.214/2/0|12.123.80.214/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.214/0/0|12.123.80.214/0/0|12.123.80.214/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.29/3/0|12.123.80.29/3/0|12.123.80.29/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.137/3/1|10.144.0.137/3/1|10.144.0.137/3/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.137/4/0|10.144.0.137/4/0|10.144.0.137/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.216/0/0|150.0.0.216/0/0|150.0.0.216/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.172/3/0|143.0.68.172/3/0|143.0.68.172/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
143.0.68.34/0/0|143.0.68.34/0/0|143.0.68.34/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.147/2/1|10.144.0.147/2/1|10.144.0.147/2/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.0.53/3/0|12.82.0.53/3/0|12.82.0.53/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.214/4/1|12.123.80.214/4/1|12.123.80.214/4/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.154/1/1|8.8.0.154/1/1|8.8.0.154/1/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
12.82.0.53/4/0|12.82.0.53/4/0|12.82.0.53/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.248/0/1|143.0.68.248/0/1|143.0.68.248/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/5/0|10.144.0.147/5/0|10.144.0.147/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
8.8.0.190/0/0|8.8.0.190/0/0|8.8.0.190/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.82.0.62/3/1|12.82.0.62/3/1|12.82.0.62/3/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.154/2/2|10.144.0.154/2/2|10.144.0.154/2/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.154/5/0|8.8.0.154/5/0|8.8.0.154/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
149.0.3.195/0/0|149.0.3.195/0/0|149.0.3.195/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
12.123.80.201/5/0|12.123.80.201/5/0|12.123.80.201/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.128/4/0|149.0.3.128/4/0|149.0.3.128/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.217/0/0|150.0.0.217/0/0|150.0.0.217/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.137/1/2|10.144.0.137/1/2|10.144.0.137/1/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.240/0/0|143.0.68.240/0/0|143.0.68.240/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
143.0.68.169/1/0|143.0.68.169/1/0|143.0.68.169/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.196/5/1|149.0.3.196/5/1|149.0.3.196/5/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
12.80.84.11/0/0|12.80.84.11/0/0|12.80.84.11/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.212/5/0|143.0.68.212/5/0|143.0.68.212/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
12.80.72.16/3/0|12.80.72.16/3/0|12.80.72.16/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.137/1/3|10.144.0.137/1/3|10.144.0.137/1/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.154/3/2|10.144.0.154/3/2|10.144.0.154/3/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.9.0.6/0/0|149.9.0.6/0/0|149.9.0.6/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
143.0.68.170/4/0|143.0.68.170/4/0|143.0.68.170/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
14.0.1.85/0/0|14.0.1.85/0/0|14.0.1.85/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.17/2/1|12.123.80.17/2/1|12.123.80.17/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.137/2/0|10.144.0.137/2/0|10.144.0.137/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.9.0.6/0/1|149.9.0.6/0/1|149.9.0.6/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
143.0.68.242/0/2|143.0.68.242/0/2|143.0.68.242/0/2|ETHERNET-NFO|IPAG|IPAG|true|B|MIC3-3D-10XGE-SFPP
10.144.0.137/3/0|10.144.0.137/3/0|10.144.0.137/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
148.0.131.182/4/2|148.0.131.182/4/2|148.0.131.182/4/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
143.0.68.110/2/1|143.0.68.110/2/1|143.0.68.110/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.198/2/0|143.0.24.198/2/0|143.0.24.198/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
143.0.68.72/1/0|143.0.68.72/1/0|143.0.68.72/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.198/4/0|149.0.3.198/4/0|149.0.3.198/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
10.144.0.137/5/3|10.144.0.137/5/3|10.144.0.137/5/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
143.0.24.130/4/0|143.0.24.130/4/0|143.0.24.130/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.89/1/0|150.0.0.89/1/0|150.0.0.89/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.154/3/1|8.8.0.154/3/1|8.8.0.154/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-4XGE
143.0.24.144/5/0|143.0.24.144/5/0|143.0.24.144/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
8.8.0.154/2/0|8.8.0.154/2/0|8.8.0.154/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.143/0/0|12.123.80.143/0/0|12.123.80.143/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.12/0/0|150.0.0.12/0/0|150.0.0.12/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.184/0/1|143.0.68.184/0/1|143.0.68.184/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.170/5/0|143.0.68.170/5/0|143.0.68.170/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.194/2/0|149.0.3.194/2/0|149.0.3.194/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.190/3/0|8.8.0.190/3/0|8.8.0.190/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.197/0/0|12.123.80.197/0/0|12.123.80.197/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.173/0/0|143.0.68.173/0/0|143.0.68.173/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.169/3/0|143.0.68.169/3/0|143.0.68.169/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
10.144.0.147/5/2|10.144.0.147/5/2|10.144.0.147/5/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
12.123.80.17/2/0|12.123.80.17/2/0|12.123.80.17/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.29/2/1|12.123.80.29/2/1|12.123.80.29/2/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.33/1/3|12.80.72.33/1/3|12.80.72.33/1/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.154/3/1|10.144.0.154/3/1|10.144.0.154/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
148.0.131.182/0/0|148.0.131.182/0/0|148.0.131.182/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.176/5/0|8.8.0.176/5/0|8.8.0.176/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
149.9.0.27/1/0|149.9.0.27/1/0|149.9.0.27/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
10.144.0.147/1/1|10.144.0.147/1/1|10.144.0.147/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.242/3/2|143.0.68.242/3/2|143.0.68.242/3/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.99/5/0|143.0.68.99/5/0|143.0.68.99/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.168/2/0|143.0.68.168/2/0|143.0.68.168/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.198/3/0|149.0.3.198/3/0|149.0.3.198/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.82.100.7/5/1|12.82.100.7/5/1|12.82.100.7/5/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.17.93/3/0|12.80.17.93/3/0|12.80.17.93/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.194/4/0|149.0.3.194/4/0|149.0.3.194/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-4XGE
149.0.3.222/4/0|149.0.3.222/4/0|149.0.3.222/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/0/1|10.144.0.147/0/1|10.144.0.147/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
150.0.0.215/1/0|150.0.0.215/1/0|150.0.0.215/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.9.0.6/0/3|149.9.0.6/0/3|149.9.0.6/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
143.0.68.43/0/0|143.0.68.43/0/0|143.0.68.43/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.212/0/0|12.123.80.212/0/0|12.123.80.212/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.237/5/0|143.0.24.237/5/0|143.0.24.237/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
143.0.68.43/5/0|143.0.68.43/5/0|143.0.68.43/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
143.0.68.72/0/0|143.0.68.72/0/0|143.0.68.72/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
143.0.68.42/1/0|143.0.68.42/1/0|143.0.68.42/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.23/4/0|150.0.0.23/4/0|150.0.0.23/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
149.0.3.223/4/0|149.0.3.223/4/0|149.0.3.223/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.206/4/0|149.0.3.206/4/0|149.0.3.206/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
8.8.0.205/1/0|8.8.0.205/1/0|8.8.0.205/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.223/1/0|149.0.3.223/1/0|149.0.3.223/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
143.0.68.170/5/2|143.0.68.170/5/2|143.0.68.170/5/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
