@ref(networkElement)|@const(IpagLPort)class
@index(PE_LPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|access_flag|bmp_clci|card_type|clci|clfi|cust_circuit_id|cvlanid|cvlan_id_bot|cvlan_id_top|device_name|ds1_ckt_id|evc_name|grc|icore_evcname|ineffect|interface_ip_addr|interface_number|interface_string|log_port_name|log_port_number|mcn|mlppp_grp_number|nvlan_id_top|peip_addr|pvc_id|remote_cvlanid_bot|remote_cvlanid_top|remote_cvlanid|remote_ipaddr|remote_port_aid|remote_log_port_name|remote_nvlan_id_top|remote_svlanid|remote_vlanid|scp_service|service_name|service_options|soc|sub_interface|subscriber_name|svlanid|vlanid|uni_nni|vrf_name|vpn_name
143.0.68.247/4/2/4/6010|143.0.68.247/4/2/4/6010|143.0.68.247/4/2/4/6010|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLANCT5||99/ABCD/328911/MN|||Y||||Port_6701627|6010|||||||||||||||||||6010|||||VPLS:29129|
149.0.3.222/5/0/2/6005|149.0.3.222/5/0/2/6005|149.0.3.222/5/0/2/6005|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAL08||21/EVCP/897333/RS|||Y||||87/KRFN/766641/SB_282036_Port_A|6005|||||||||||||||||||6005|||||VPWS:27757|
143.0.68.242/3/1/9/163|143.0.68.242/3/1/9/163|143.0.68.242/3/1/9/163|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLANH02|||||N||||1/Z-Links/GSVLFLANH02/GSVLFLANX04_Port_A|163|||||||||||||||||||||||||
12.82.0.53/4/0/0/5|12.82.0.53/4/0/0/5|12.82.0.53/4/0/0/5|ETHERNET-NFO|IPAG|IPAG|true|B|||||J101P/GE1N/ORLDFL24AEX/ORLDFL24FIP|||||ORLDFL24FIP|||||N||||J101P/GE1N/ORLDFL24AEX/ORLDFL24FIP_Port_A|5|||||||||||||||||||||||||
10.144.0.137/5/0/2/6009|10.144.0.137/5/0/2/6009|10.144.0.137/5/0/2/6009|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLMA51W||85/VXLP/205151/SB|||Y||||85/KRFN/206482/SB_281995_Port_A|6009|||||||||||||||||||6009|||||VPWS:27749|
12.123.80.214/3/1/1/223|12.123.80.214/3/1/1/223|12.123.80.214/3/1/1/223|ETHERNET-NFO|IPAG|IPAG|true|S|||||D101F/GE1N/SNJSCAHUDK3/SNJSCAHUY2S|||||SNJSCAHUDK3|||||N||||D101F/GE1N/SNJSCAHUDK3/SNJSCAHUY2S_Port_A|223|||||||||||D101F/GE1N/SNJSCAHUDK3/SNJSCAHUY2S_Port_Z||||||||||||||
12.80.72.33/0/3/8/35|12.80.72.33/0/3/8/35|12.80.72.33/0/3/8/35|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||RLGHNCMA121|||||N||||100/E-Links/RLGHNCMA121/RLGHNCMA621_Port_A|35|||||||||||||||||||||||||
149.0.3.202/4/0/1/6000|149.0.3.202/4/0/1/6000|149.0.3.202/4/0/1/6000|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAL03||31/KMPT/899130/SB|||Y||||CVLAN_992_281125_Aend|6000|||||||||||||||||||6000|||||VPLS:27640|
150.0.0.168/5/1/6/6007|150.0.0.168/5/1/6/6007|150.0.0.168/5/1/6/6007|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||01/SHAS/291211/EV|||Y||||45/NHBH/415258/KJ_262794_Port_A|6007|||||||||||||||||||6007|||||VPWS:25696|
148.0.131.182/2/0/3/38|148.0.131.182/2/0/3/38|148.0.131.182/2/0/3/38|ETHERNET-NFO|IPAG|IPAG|true|S|||||101/GE1N/RENONVYAY3Q/RENONVYAY4Q|||||RENONVYAY3Q|||||N||||101/GE1N/RENONVYAY3Q/RENONVYAY4Q_Port_A|38|||||||||||101/GE1N/RENONVYAY3Q/RENONVYAY4Q_Port_Z||||||||||||||
12.123.80.197/0/0/1/6001|12.123.80.197/0/0/1/6001|12.123.80.197/0/0/1/6001|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFL32ZSA||01/EVCAB/001|||Y||||19/KRFN/002212/SB_172588_Port_A|6001|||||||||||||||||||6001|||||L2CKT:22014|
143.0.68.242/3/1/9/165|143.0.68.242/3/1/9/165|143.0.68.242/3/1/9/165|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLANH02|||||N||||1/Z-Links/GSVLFLANH02/GSVLFLANX04_NMV127_Aend|165|||||||||||||||||||||||||
12.123.80.29/2/0/4/6002|12.123.80.29/2/0/4/6002|12.123.80.29/2/0/4/6002|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFL32PB1||04/EVC_CKT/SP|||Y||||30/AERS/423211/SD_164531_Port_A|6002|||||||||||||||||||6002|||||VPLS:20519|
10.144.0.65/4/0/3/59|10.144.0.65/4/0/3/59|10.144.0.65/4/0/3/59|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU103/GE1N/ORLDFLBOWA1/ORLDFLMA61W|||||ORLDFLMA61W|||||N||||JU103/GE1N/ORLDFLBOWA1/ORLDFLMA61W_Port_A|59|||||||||||||||||||||||||
150.0.0.168/5/1/6/6024|150.0.0.168/5/1/6/6024|150.0.0.168/5/1/6/6024|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||87/EVCP/892333/RS|||Y||||45/NHBH/415258/KJ_266257_Port_A|6024|||||||||||||||||||6024|||||VPWS:26039|
12.123.80.197/1/0/0/5|12.123.80.197/1/0/0/5|12.123.80.197/1/0/0/5|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL32ZSA|||||N||||1/E-Links/ORLDFL32B61/ORLDFL32ZSA_NMV4092_Port_Z|5|||||||||||||||||||||||||
143.0.68.168/2/0/5/29|143.0.68.168/2/0/5/29|143.0.68.168/2/0/5/29|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMB1MX|||||N||||CVLAN_156_286968_Aend|29|||||||||||||||||||||||||
143.0.68.242/0/2/0/6006|143.0.68.242/0/2/0/6006|143.0.68.242/0/2/0/6006|NFO-MOBILITY|NTE|IPAG|true|B||||||||||GSVLFLANH02||99/ABCD/371277/MN|||Y||||13/KSGN/343222/SB_289439_Port_A|6006|||||||||||||||||||6006|||||VPLS:28955|
8.8.0.154/2/0/4/6000|8.8.0.154/2/0/4/6000|8.8.0.154/2/0/4/6000|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA56W||34/GLHL/489993/FL|||Y||||12/VNBG/132546/SK_231869_Port_A|6000|||||||||||||||||||6000||||||
12.82.0.53/3/0/0/2|12.82.0.53/3/0/0/2|12.82.0.53/3/0/0/2|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL24FIP||VISHAL_MPEVC|||Y||||45/sgeg/213212/se_137367_Port_A|2|||||||||||||||||||2|||||VPLS:52165|
10.144.0.155/1/3/0/6003|10.144.0.155/1/3/0/6003|10.144.0.155/1/3/0/6003|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNTCCA0111W||85/VLXM/306084/PT|||Y||||85/KRFN/306843/PT_409212_Port_A|6003|||||||||||||||||||6003|||||VPLS:32099|
149.0.3.196/0/0/8/6002|149.0.3.196/0/0/8/6002|149.0.3.196/0/0/8/6002|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAD01||22/YYTT/222222/AE|||Y||||03/UNIF/210412/JP_279293_Port_A|6002|||||||||||||||||||6002|||||L2CKT:27524|
143.0.68.172/4/0/8/171|143.0.68.172/4/0/8/171|143.0.68.172/4/0/8/171|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU101/GE1N/DYBHFLMCV01/DYBHFLMCV2I|||||DYBHFLMCV01|||||N||||JU101/GE1N/DYBHFLMCV01/DYBHFLMCV2I_Port_A|171|||||||||||||||||||||||||
10.144.0.137/1/0/2/6028|10.144.0.137/1/0/2/6028|10.144.0.137/1/0/2/6028|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLMA51W||10/VXLP/120602/SB|||Y||||58/KRGN/700084/SB_278427_Port_A|6028|||||||||||||||||||6028|||||L2CKT:27429|
143.0.68.247/4/2/4/6004|143.0.68.247/4/2/4/6004|143.0.68.247/4/2/4/6004|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLANCT5||99/ABCD/478727/MN|||Y||||95/KRFN/919370/SB_291224_Port_A|6004|||||||||||||||||||6004|||||VPWS:29117|
143.0.68.248/0/1/2/258|143.0.68.248/0/1/2/258|143.0.68.248/0/1/2/258|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMA308|||||N||||JU101/GE1N/DYBHFLMA308/DYBHFLMC571_NMV127_Port_A|258|||||||||||||||||||||||||
149.0.3.194/1/0/0/85|149.0.3.194/1/0/0/85|149.0.3.194/1/0/0/85|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||CRCYNVMAD06|||||N||||JP102/GE10/CRCYNVAA6EH/CRCYNVMAD06_NMV4092_Port_A|85|||||||||||||||||||||||||
143.0.68.184/0/1/6/6021|143.0.68.184/0/1/6/6021|143.0.68.184/0/1/6/6021|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||00/EVCM/011813/SP|||Y||||00/UNIF/121412/SP_300773_Port_A|6021|||||||||||||||||||6021|||||VPLS:30435|
12.123.80.214/2/1/1/93|12.123.80.214/2/1/1/93|12.123.80.214/2/1/1/93|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||SNJSCAHUDK3|||||N||||1/E-Links/SNJSCAHUDK3/SNJSCAHUTJ6_NMV4092_Port_A|93|||||||||||||||||||||||||
143.0.68.170/1/0/6/42|143.0.68.170/1/0/6/42|143.0.68.170/1/0/6/42|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMB2MX|||||N||||JU103/GE1N/DYBHFLMBR67/DYBHFLMB2MX_NMV127_Port_A|42|||||||||||||||||||||||||
143.0.68.169/2/0/7/115|143.0.68.169/2/0/7/115|143.0.68.169/2/0/7/115|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU102/GE1N/DYBHFLMBR01/DYBHFLMB637|||||DYBHFLMBR01|||||N||||JU102/GE1N/DYBHFLMBR01/DYBHFLMB637_Port_A|115|||||||||||||||||||||||||
12.123.80.214/3/0/1/6005|12.123.80.214/3/0/1/6005|12.123.80.214/3/0/1/6005|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCAHUDK3||78/EVCP/393333/RS|||Y||||01/KRFN/567567/SB_282690_Port_A|6005|||||||||||||||||||6005||||||
8.8.0.154/0/1/4/4|8.8.0.154/0/1/4/4|8.8.0.154/0/1/4/4|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA56W||EVC_MPT_134|||Y||||25/KQGN/145236/VS_161756_Port_A|4|||||||||||||||||||4|||||VPLS:63408|
149.0.3.196/0/0/9/6005|149.0.3.196/0/0/9/6005|149.0.3.196/0/0/9/6005|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAD01||22/WPWE/223344/WW|||Y||||02/UNIF/210412/JP_279458_Port_A|6005|||||||||||||||||||6005|||||L2CKT:27535|
143.0.68.184/0/0/2/6005|143.0.68.184/0/0/2/6005|143.0.68.184/0/0/2/6005|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||55/JHUH/872234/NH|||Y||||55/HYTR/872234/NH_285244_Port_A|6005|||||||||||||||||||6005|||||L2CKT:28611|
149.0.3.194/0/2/0/6009|149.0.3.194/0/2/0/6009|149.0.3.194/0/2/0/6009|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAD06||99/VLXP/733240/NV|||Y||||99/KRFN/733240/NV_286808_Port_A|6009|||||||||||||||||||6009||||||
10.144.0.147/5/2/1/6015|10.144.0.147/5/2/1/6015|10.144.0.147/5/2/1/6015|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLPH51W||85/VLXP/210059/SB|||Y||||85/KQGN/101011/SB_283435_Port_A|6015|||||||||||||||||||6015|||||VPLS:28003|
143.0.68.184/0/0/5/6020|143.0.68.184/0/0/5/6020|143.0.68.184/0/0/5/6020|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||13/KSGN/343221/DD|||Y||||65/JUJU/817161/HH_291673_Port_A|6020|||||||||||||||||||6020|||||VPWS:29198|
12.123.80.17/2/0/8/6008|12.123.80.17/2/0/8/6008|12.123.80.17/2/0/8/6008|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA1IP||EVC_RASHI_009|||Y||||47/KRFN/456117/NV_169756_Port_A|6008|||||||||||||||||||6008|||||VPLS:21524|
8.8.0.154/3/1/0/14|8.8.0.154/3/1/0/14|8.8.0.154/3/1/0/14|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA56W||22/KQGN/557709/NV|||Y||||33/KQGN/739200/NV_161345_Port_A|14|||||||||||||||||||14|||||L2CKT:63242|
12.82.0.53/1/0/9/132|12.82.0.53/1/0/9/132|12.82.0.53/1/0/9/132|ETHERNET-NFO|IPAG|IPAG|true|B|||||U115U/GE1N/ORLDFL24FIP/ORLDFL24Q10|||||ORLDFL24FIP|||||N||||U115U/GE1N/ORLDFL24FIP/ORLDFL24Q10_Port_A|132|||||||||||U115U/GE1N/ORLDFL24FIP/ORLDFL24Q10_Port_Z||||||||||||||
12.123.80.27/2/0/3/6011|12.123.80.27/2/0/3/6011|12.123.80.27/2/0/3/6011|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA3IP||19/PTPS/518121/SR|||Y||||34/ASDE/675432/ER_204850_Port_A|6011|||||||||||||||||||6011|||||VPWS:22690|
10.144.0.137/4/0/1/6001|10.144.0.137/4/0/1/6001|10.144.0.137/4/0/1/6001|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLMA51W||85/VLXM/302067/SB|||Y||||10/KRFN/201301/SB_294861_Port_A|6001|||||||||||||||||||6001|||||VPLS:29610|
150.0.0.168/5/1/6/6022|150.0.0.168/5/1/6/6022|150.0.0.168/5/1/6/6022|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||01/EVCM/011912/DP|||Y||||45/NHBH/415258/KJ_266153_Port_A|6022|||||||||||||||||||6022|||||VPLS:26024|
150.0.0.168/5/1/6/6034|150.0.0.168/5/1/6/6034|150.0.0.168/5/1/6/6034|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||32/HGHG/989098/GB|||Y||||45/NHBH/415258/KJ_269187_Port_A|6034|||||||||||||||||||6034|||||VPWS:26308|
10.144.0.154/2/0/5/6009|10.144.0.154/2/0/5/6009|10.144.0.154/2/0/5/6009|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCA02W31||10/VLXP/130418/PT|||Y||||10/KRFN/130418/PT_410892_Port_A|6009|||||||||||||||||||6009|||||L2CKT:32384|
12.82.0.53/5/1/2/31|12.82.0.53/5/1/2/31|12.82.0.53/5/1/2/31|ETHERNET-NFO|IPAG|IPAG|true|B|||||G107J/GE1N/ORLDFL24FIP/ORLDFL24IIP|||||ORLDFL24FIP|||||N||||G107J/GE1N/ORLDFL24FIP/ORLDFL24IIP_Port_A|31|||||||||||G107J/GE1N/ORLDFL24FIP/ORLDFL24IIP_Port_Z||||||||||||||
12.123.80.122/2/3/6/9|12.123.80.122/2/3/6/9|12.123.80.122/2/3/6/9|ETHERNET-NFO|IPAG|IPAG|true|B|||||106/GE1N/ORLDFL32II3/ORLDFL32II8|||||ORLDFL32II3|||||N||||106/GE1N/ORLDFL32II3/ORLDFL32II8_Port_A|9|||||||||||106/GE1N/ORLDFL32II3/ORLDFL32II8_Port_Z||||||||||||||
149.0.3.194/4/2/0/6001|149.0.3.194/4/2/0/6001|149.0.3.194/4/2/0/6001|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAD06||99/ABCD/927926/MN|||Y||||99/KRFN/727573/NV_279999_Port_A|6001|||||||||||||||||||6001|||||VPLS:27567|
10.144.0.154/2/0/3/6000|10.144.0.154/2/0/3/6000|10.144.0.154/2/0/3/6000|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCA02W31||10/VLXP/050701/PT|||Y||||85/KRFN/306832/PT_408625_Port_A|6000|||||||||||||||||||6000|||||L2CKT:32037|
143.0.68.184/0/0/5/6004|143.0.68.184/0/0/5/6004|143.0.68.184/0/0/5/6004|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||65/KRFN/817161/HH|||Y||||65/JUJU/817161/HH_287672_Port_A|6004|||||||||||||||||||6004||||||
149.0.3.222/1/0/8/183|149.0.3.222/1/0/8/183|149.0.3.222/1/0/8/183|ETHERNET-NFO|IPAG|IPAG|true|B|||||102/GE1N/DYBHFLMAL08/DYBHFLMAVLR|||||DYBHFLMAL08|||||N||||102/GE1N/DYBHFLMAL08/DYBHFLMAVLR_Port_A|183|||||||||||102/GE1N/DYBHFLMAL08/DYBHFLMAVLR_Port_Z||||||||||||||
8.8.0.172/5/0/4/2|8.8.0.172/5/0/4/2|8.8.0.172/5/0/4/2|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA61W||23/SNDY/123/P2P1|||Y||||20/USRP/238712/US_160542_Port_A|2|||||||||||||||||||2|||||L2CKT:62734|
10.144.0.155/1/2/4/6001|10.144.0.155/1/2/4/6001|10.144.0.155/1/2/4/6001|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNTCCA0111W||86/VLXP/506911/PT|||Y||||86/KRGN/506832/PT_409981_Port_A|6001|||||||||||||||||||6001|||||L2CKT:32187|
12.123.80.29/1/1/3/92|12.123.80.29/1/1/3/92|12.123.80.29/1/1/3/92|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL32PB1|||||N||||100/E-Links/ORLDFL32B61/ORLDFL32PB1_Port_Z|92|||||||||||||||||||||||||
8.8.1.5/1/0/0/7|8.8.1.5/1/0/0/7|8.8.1.5/1/0/0/7|ETHERNET-NFO|IPAG|IPAG|true|S|||||A101S/GE1N/CRCYNVAAE33/CRCYNVAAI56|||||CRCYNVAAI56|||||N||||A101S/GE1N/CRCYNVAAE33/CRCYNVAAI56_Port_A|7|||||||||||||||||||||||||
10.144.0.154/1/2/4/6015|10.144.0.154/1/2/4/6015|10.144.0.154/1/2/4/6015|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCA02W31||85/VLXP/051001/PT|||Y||||85/KQGN/050789/PT_409623_Port_A|6015|||||||||||||||||||6015|||||L2CKT:32144|
150.0.0.168/5/1/6/6010|150.0.0.168/5/1/6/6010|150.0.0.168/5/1/6/6010|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||55/HGGT/222222/LV|||Y||||45/NHBH/415258/KJ_263113_Port_A|6010|||||||||||||||||||6010|||||VPLS:25730|
143.0.68.169/1/0/1/6000|143.0.68.169/1/0/1/6000|143.0.68.169/1/0/1/6000|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMBR01||02/KYYN/172809/NV|||Y||||08/GTER/749352/SB_284613_Port_A|6000|||||||||||||||||||6000|||||VPWS:28375|
149.0.3.222/2/1/3/6001|149.0.3.222/2/1/3/6001|149.0.3.222/2/1/3/6001|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAL08||01/BMAQ/000111/ST|||Y||||01/UNIC/000111/ST_283720_Port_A|6001|||||||||||||||||||6001|||||L2CKT:28058|
150.0.0.168/5/1/6/6040|150.0.0.168/5/1/6/6040|150.0.0.168/5/1/6/6040|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||56.EVCS.781129.SD|||Y||||45/NHBH/415258/KJ_274882_Port_A|6040|||||||||||||||||||6040|||||VPWS:26660|
143.0.68.169/2/0/3/114|143.0.68.169/2/0/3/114|143.0.68.169/2/0/3/114|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMBR01|||||N||||108/E-Links/DYBHFLMBR01/DYBHFLMCV22_Port_A|114|||||||||||||||||||||||||
143.0.68.240/2/0/8/40|143.0.68.240/2/0/8/40|143.0.68.240/2/0/8/40|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLANAC1|||||N||||R101E/GE1N/GSVLFLANAC1/GSVLFLAN987_NMV127_Port_A|40|||||||||||||||||||||||||
10.144.0.65/7/0/0/96|10.144.0.65/7/0/0/96|10.144.0.65/7/0/0/96|ETHERNET-NFO|IPAG|IPAG|true|B|||||U112H/GE10/ORLDFLMA52W/ORLDFLMA61W|||||ORLDFLMA61W|||||N||||U112H/GE10/ORLDFLMA52W/ORLDFLMA61W_Port_A|96|||||||||||U112H/GE10/ORLDFLMA52W/ORLDFLMA61W_Port_Z||||||||||||||
150.0.0.168/5/3/9/17|150.0.0.168/5/3/9/17|150.0.0.168/5/3/9/17|ETHERNET-NFO|IPAG|IPAG|true|S|||||101/GE1N/CRCYNVMAI41/ORLDFLDN0DW|||||CRCYNVMAI41|||||N||||101/GE1N/CRCYNVMAI41/ORLDFLDN0DW_Port_A|17|||||||||||101/GE1N/CRCYNVMAI41/ORLDFLDN0DW_Port_Z||||||||||||||
149.0.3.196/0/0/9/6008|149.0.3.196/0/0/9/6008|149.0.3.196/0/0/9/6008|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAD01||59/UVPS/617829/SD|||Y||||02/UNIF/210412/JP_279600_Port_A|6008|||||||||||||||||||6008|||||VPWS:27541|
143.0.68.184/0/1/6/6027|143.0.68.184/0/1/6/6027|143.0.68.184/0/1/6/6027|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||00/UNTF/121412/UK|||Y||||00/UNIF/121412/SP_301353_Port_A|6027|||||||||||||||||||6027|||||VPLS:30551|
143.0.68.242/3/2/5/6001|143.0.68.242/3/2/5/6001|143.0.68.242/3/2/5/6001|NFO-MOBILITY|NTE|IPAG|true|B||||||||||GSVLFLANH02||22/EVCP/080813/SG|||Y||||08/KRFN/058013/RB_409754_Port_A|6001|||||||||||||||||||6001|||||VPLS:32151|
143.0.68.169/2/2/1/86|143.0.68.169/2/2/1/86|143.0.68.169/2/2/1/86|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMBR01|||||N||||100/E-Links/DYBHFLMBR01/DYBHFLMCV22_Port_A|86|||||||||||||||||||||||||
143.0.68.170/2/0/4/6007|143.0.68.170/2/0/4/6007|143.0.68.170/2/0/4/6007|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMB2MX||01/VLMX/251012/JP|||Y||||85/KQGN/484546/SB_295253_Port_A|6007|||||||||||||||||||6007|||||VPLS:29679|
143.0.68.241/4/0/1/6000|143.0.68.241/4/0/1/6000|143.0.68.241/4/0/1/6000|NFO-MOBILITY|NTE|IPAG|true|B||||||||||GSVLFLANAC2||02/EVCP/031012/PJ|||Y||||01/UNAF/030912/PJ_292408_Port_A|6000|||||||||||||||||||6000|||||VPWS:29274|
10.144.0.137/1/1/7/2498|10.144.0.137/1/1/7/2498|10.144.0.137/1/1/7/2498|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFLMA51W|||||N||||JU101/GE1N/ORLDFLMA5DW/ORLDFLMA51W_NMV127_Port_A|2498|||||||||||||||||||||||||
148.0.131.182/1/0/1/32|148.0.131.182/1/0/1/32|148.0.131.182/1/0/1/32|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||RENONVYAY3Q|||||N||||Port_4531114|32|||||||||||||||||||||||||
12.82.0.62/2/1/3/70|12.82.0.62/2/1/3/70|12.82.0.62/2/1/3/70|ETHERNET-NFO|IPAG|IPAG|true|B|||||P104S/GE1N/ORLDFL24E91/ORLDFL24Q10|||||ORLDFL24Q10|||||N||||P104S/GE1N/ORLDFL24E91/ORLDFL24Q10_Port_A|70|||||||||||||||||||||||||
143.0.68.184/0/1/6/6002|143.0.68.184/0/1/6/6002|143.0.68.184/0/1/6/6002|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||00/EVCP/124578/SP|||Y||||00/UNIF/121412/SP_298270_Port_A|6002|||||||||||||||||||6002|||||VPWS:30098|
143.0.68.169/2/0/3/113|143.0.68.169/2/0/3/113|143.0.68.169/2/0/3/113|ETHERNET-NFO|IPAG|IPAG|true|B|||||W106O/GE1N/DYBHFLMBR01/DYBHFLMCV22|||||DYBHFLMBR01|||||N||||W106O/GE1N/DYBHFLMBR01/DYBHFLMCV22_Port_A|113|||||||||||W106O/GE1N/DYBHFLMBR01/DYBHFLMCV22_Port_Z||||||||||||||
143.0.68.247/4/2/4/50|143.0.68.247/4/2/4/50|143.0.68.247/4/2/4/50|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU101/GE1N/GSVLFLANCT5/GSVLFLANYNB|||||GSVLFLANCT5|||||N||||JU101/GE1N/GSVLFLANCT5/GSVLFLANYNB_Port_A|50|||||||||||||||||||||||||
10.144.0.137/1/3/3/6011|10.144.0.137/1/3/3/6011|10.144.0.137/1/3/3/6011|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLMA51W||74/KQGN/120613/SB|||Y||||73/KQGN/120613/SB_411165_Port_A|6011|||||||||||||||||||6011|||||L2CKT:32413|
143.0.24.132/1/0/4/6000|143.0.24.132/1/0/4/6000|143.0.24.132/1/0/4/6000|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCA020FW||85/VLXM/306083/PT|||Y||||85/KRFN/306833/PT_305111_Port_A|6000|||||||||||||||||||6000|||||VPLS:31662|
148.0.131.182/4/1/6/6005|148.0.131.182/4/1/6/6005|148.0.131.182/4/1/6/6005|NFO-MOBILITY|NTE|IPAG|true|S||||||||||RENONVYAY3Q||01/EVCM/072811/DP|||Y||||25/YHYJ/225511/UK_237046_Port_A|6005|||||||||||||||||||6005|||||VPLS:23583|
12.123.80.29/2/0/4/6004|12.123.80.29/2/0/4/6004|12.123.80.29/2/0/4/6004|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFL32PB1||EVC_RASH_001|||Y||||HH/UNIF/154245/UU_164832_Port_A|6004|||||||||||||||||||6004|||||VPLS:20548|
10.144.0.137/0/0/0/677|10.144.0.137/0/0/0/677|10.144.0.137/0/0/0/677|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFLMA51W|||||N||||103/E-Links/ORLDFLMA51W/ORLDFLMA61W_Port_A|677|||||||||||||||||||||||||
143.0.68.172/1/1/0/85|143.0.68.172/1/1/0/85|143.0.68.172/1/1/0/85|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMCV01|||||N||||10/Z-Links/DYBHFLMCV01/DYBHFLMC501_NMV4091_Aend|85|||||||||||||||||||||||||
143.0.68.242/3/0/3/6005|143.0.68.242/3/0/3/6005|143.0.68.242/3/0/3/6005|NFO-MOBILITY|NTE|IPAG|true|B||||||||||GSVLFLANH02||98/KQGN/285215/SB|||Y||||01/KRFN/789641/RB_405761_Port_A|6005|||||||||||||||||||6005|||||VPWS:31749|
150.0.0.168/5/1/6/6037|150.0.0.168/5/1/6/6037|150.0.0.168/5/1/6/6037|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||77/EVCS/966178/SD|||Y||||45/NHBH/415258/KJ_272328_Port_A|6037|||||||||||||||||||6037|||||VPWS:26554|
