@ref(networkElement)|@const(IpagPPort)class
@index(PE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|access_flag|acnaban|bmp_clci|clci|clfi|device_type|evc_name|ineffect|mcn|port_aid|port_ipaddr|port_lag_id|port_lag_ip|port_num|remote_device_name|remote_device_model|remote_device_type|remote_device_ipaddr|remote_deviceloopback10ip|remote_deviceloopbackip|remote_slot_number|remote_slot_name|remote_port_aid|remote_ptnii|subscriber_name|soc|vrf_name|vpn_name|uni_nni
143.0.68.184/0/2/5|143.0.68.184/0/2/5|143.0.68.184/0/2/5|NFO-MOBILITY|NTE|IPAG|true|B|||||P101J/GE1N/CRCYNVAABS7/DYBHFLMCV22|JUNIPER MX SERIES||N||ge-0/2/5||||0|CRCYNVAABS7||CIENA NTE|10.204.85.99|||||9||||||
143.0.68.242/4/1/5|143.0.68.242/4/1/5|143.0.68.242/4/1/5|ETHERNET-NFO|IPAG|IPAG|true|B|||||R102B/GE1N/GSVLFLANH02/GSVLFLAN889|JUNIPER MX SERIES||||ge-4/1/5||ae11||0|||||||||||||||
143.0.68.35/0/0/0|143.0.68.35/0/0/0|143.0.68.35/0/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||JU103/GE1N/CRCYNVMAH02/CRCYNVMAH34|JUNIPER MX SERIES||N||ge-0/0/0||||0|CRCYNVMAH34||CIENA NTE|10.204.83.233|||||25||||||
143.0.24.198/2/1/0|143.0.24.198/2/1/0|143.0.24.198/2/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||JP110/GE10/SNJSCASOW02/SNJSCA0220W|JUNIPER MX SERIES||||xe-2/1/0||ae3||0|||||||||||||||
149.0.3.222/2/1/4|149.0.3.222/2/1/4|149.0.3.222/2/1/4|ETHERNET-NFO|IPAG|IPAG|true|B|||||101/GE1N/DYBHFLMALV2/DYBHFLMAL08|JUNIPER MX SERIES||||ge-2/1/4||ae0||0|DYBHFLMALV2||CIENA EMUX|10.204.10.34|||||21||||||
143.0.68.43/5/0/1|143.0.68.43/5/0/1|143.0.68.43/5/0/1|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAQ9S/CRCYNVMAW71|JUNIPER MX SERIES||N||ge-5/0/1||||0|CRCYNVMAQ9S||CIENA NTE|10.204.84.198|||||9||||||
143.0.68.184/2/0/1|143.0.68.184/2/0/1|143.0.68.184/2/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|||||102/GE1N/DYBHFLMCV22/DYBHFLMCX01|JUNIPER MX SERIES||||ge-2/0/1||ae1||0|DYBHFLMCX01||CIENA EMUX|10.204.11.142|||||22||||||
10.144.0.147/4/3/7|10.144.0.147/4/3/7|10.144.0.147/4/3/7|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/ORLDFLPH51W/ORLHFLSGH01|JUNIPER MX SERIES||Y||ge-4/3/7||||0|ORLHFLSGH01||CIENA NTE|192.168.113.165|||||10||||||
143.0.68.240/0/0/0|143.0.68.240/0/0/0|143.0.68.240/0/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||JP104/GE10/GSVLFLANAC1/GSVLFLANLAO|JUNIPER MX SERIES||||xe-0/0/0||||0|||||||||||||||
143.0.68.248/1/1/9|143.0.68.248/1/1/9|143.0.68.248/1/1/9|NFO-MOBILITY|NTE|IPAG|true|B|||||D101E/GE1N/DYBHFLMA143/DYBHFLMA308|JUNIPER MX SERIES||N||ge-1/1/9||||0|DYBHFLMA143||CIENA NTE|10.204.11.186|||||9||||||
12.123.80.214/2/1/3|12.123.80.214/2/1/3|12.123.80.214/2/1/3|ETHERNET-NFO|IPAG|IPAG|true|S|||||A102J/GE1N/SNJSCAHUDK3/SNJSCAHUTJ6|JUNIPER MX SERIES||||ge-2/1/3||ae25|149.0.18.117|0|SNJSCAHUTJ6||JUNIPER MX SERIES|12.122.123.17|12.122.128.131|149.8.0.17|4|0/4|ge-1/0/4||||||
8.8.0.205/2/0/1|8.8.0.205/2/0/1|8.8.0.205/2/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|||||P101S/GE1N/CRCYNVAAP04/CRCYNVAA5D5|JUNIPER MX SERIES||||ge-2/0/1||ae13||1|CRCYNVAAP04||CIENA EMUX|10.204.90.100|||||23||||||
149.0.3.216/1/0/1|149.0.3.216/1/0/1|149.0.3.216/1/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|||||104/GE1N/CRCYNVMAD05/CRCYNVMAD79|JUNIPER MX SERIES||||ge-1/0/1||ae0||0|CRCYNVMAD79||CIENA EMUX|10.204.84.243|||||24||||||
10.144.0.147/1/3/9|10.144.0.147/1/3/9|10.144.0.147/1/3/9|ETHERNET-NFO|IPAG|IPAG|true|B|||||J1020/GE1N/ORLDFLPH51W/ORLDFLPH73W|JUNIPER MX SERIES||||ge-1/3/9||||1|ORLDFLPH73W||CISCO 2800 SERIES|192.168.112.153||192.168.114.68|||GigabitEthernet0/1||||||
8.8.0.148/1/0/5|8.8.0.148/1/0/5|8.8.0.148/1/0/5|NFO-MOBILITY|NTE|IPAG|true|S|||||A101P/GE1N/CRCYNVAAP01/CRCYNVAAP08|JUNIPER MX SERIES||N||ge-1/0/5||||0|CRCYNVAAP08||CIENA NTE|10.204.90.106|||||25||||||
149.0.3.222/3/0/2|149.0.3.222/3/0/2|149.0.3.222/3/0/2|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/CRCYNVMAZ6V/DYBHFLMAL08|JUNIPER MX SERIES||N||ge-3/0/2||||0|CRCYNVMAZ6V||CIENA NTE|10.204.85.84|||||9||||||
148.0.131.182/1/0/0|148.0.131.182/1/0/0|148.0.131.182/1/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||101/GE1N/CRCYNVAAJ3D/RENONVYAY3Q|JUNIPER MX SERIES||||ge-1/0/0||ae23|143.0.17.89|1|CRCYNVAAJ3D||JUNIPER MX SERIES|12.122.123.50||12.123.80.236|20|2/0|ge-0/2/0||||||
12.80.72.121/4/0/9|12.80.72.121/4/0/9|12.80.72.121/4/0/9|ETHERNET-NFO|IPAG|IPAG|true|B|||||P102S/GE1N/ORLDFL2589P/RLGHNCMAX10|JUNIPER MX SERIES||||ge-4/0/9||ae12|14.0.56.81|0|RLGHNCMAX10||JUNIPER MX SERIES|10.204.247.132|12.123.75.221|12.80.72.123|39|3/9|ge-0/3/9||||||
10.144.0.154/2/1/0|10.144.0.154/2/1/0|10.144.0.154/2/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||110/GE1N/SNJSCAJN0IW/SNJSCA02W31|JUNIPER MX SERIES||||ge-2/1/0||ae4||0|||||||||||||||
8.8.0.205/1/0/4|8.8.0.205/1/0/4|8.8.0.205/1/0/4|ETHERNET-NFO|IPAG|IPAG|true|S|||||P101T/GE1N/CRCYNVAAI56/CRCYNVAA5D5|JUNIPER MX SERIES||||ge-1/0/4||ae25|12.82.89.245|1|CRCYNVAAI56||JUNIPER MX SERIES|12.81.162.36|12.123.76.178|8.8.1.5|0|0/0|ge-0/0/0||||||
8.8.0.172/5/0/6|8.8.0.172/5/0/6|8.8.0.172/5/0/6|NFO-MOBILITY|NTE|IPAG|true|S|||||S101G/GE1N/CRCYNVAASD4/CRCYNVAA61W|JUNIPER MX SERIES||N||ge-5/0/6||||1|CRCYNVAASD4||CIENA NTE|10.204.90.175|||||25||||||
8.8.0.154/5/0/1|8.8.0.154/5/0/1|8.8.0.154/5/0/1|NFO-MOBILITY|NTE|IPAG|true|S|||||S105G/GE1N/CRCYNVAA56W/CRCYNVHD6AW|JUNIPER MX SERIES||Y||ge-5/0/1||||0|CRCYNVHD6AW||CIENA NTE|10.204.90.99|||||25||||||
149.9.0.6/0/0/0|149.9.0.6/0/0/0|149.9.0.6/0/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||JP108/GE10/DYBHFLMAWA5/DYBHFLMAWBF|JUNIPER MX SERIES||||xe-0/0/0||||0|||||||||||||||
8.8.0.172/5/0/0|8.8.0.172/5/0/0|8.8.0.172/5/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||A101Z/GE1N/CRCYNVAAN00/CRCYNVAA61W|JUNIPER MX SERIES||Y||ge-5/0/0||||1|CRCYNVAAN00||CIENA NTE|10.204.90.155|||||25||||||
143.0.68.172/0/1/2|143.0.68.172/0/1/2|143.0.68.172/0/1/2|NFO-MOBILITY|NTE|IPAG|true|B|||||M102N/GE1N/DYBHFLMCV01/DYBHFLMCV13|JUNIPER MX SERIES||N||ge-0/1/2||||0|DYBHFLMCV13||CIENA NTE|10.204.10.121|||||9||||||
12.80.84.29/3/0/5|12.80.84.29/3/0/5|12.80.84.29/3/0/5|NFO-MOBILITY|NTE|IPAG|true|S|||||101/GE1N/CRCYNVHU4AW/CRCYNVMA51W|JUNIPER MX SERIES||N||ge-3/0/5||||1|CRCYNVHU4AW||CIENA NTE|10.204.6.66|||||25||||||
12.80.84.11/1/0/0|12.80.84.11/1/0/0|12.80.84.11/1/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||101/GE10/PNCYFLMA51W/PNCYFLMA61W|JUNIPER MX SERIES||||xe-1/0/0||||0|PNCYFLMA61W||JUNIPER MX SERIES|10.204.246.230|12.123.75.65|12.80.84.10|0|0/0|xe-0/0/0||||||
149.0.3.196/4/0/0|149.0.3.196/4/0/0|149.0.3.196/4/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVAA3EI/CRCYNVMAD01|JUNIPER MX SERIES||Y||ge-4/0/0||||0|CRCYNVAA3EI||CIENA NTE|10.204.85.62|||||25||||||
150.0.0.23/5/0/0|150.0.0.23/5/0/0|150.0.0.23/5/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVAA03T/CRCYNVAA17T|JUNIPER MX SERIES||N||ge-5/0/0||||0|CRCYNVAA17T||CIENA NTE|10.204.81.203|||||25||||||
12.123.80.27/1/2/1|12.123.80.27/1/2/1|12.123.80.27/1/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|||||K101M/GE1N/CRCYNVAA3IP/CRCYNVAA4IP|JUNIPER MX SERIES||||ge-1/2/1||||0|CRCYNVAA4IP||JUNIPER MX SERIES|12.122.122.149|12.122.128.24|12.123.80.115|1|0/1|ge-2/0/1||||||
149.0.3.222/5/1/2|149.0.3.222/5/1/2|149.0.3.222/5/1/2|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMAL08/DYBHFLMA503|JUNIPER MX SERIES||N||ge-5/1/2||||0|DYBHFLMA503||CIENA NTE|10.204.9.201|||||10||||||
12.80.72.121/4/0/2|12.80.72.121/4/0/2|12.80.72.121/4/0/2|NFO-MOBILITY|NTE|IPAG|true|B|||||A101P/GE1N/ORLDFL2589P/RLGHNCMALR4|JUNIPER MX SERIES||N||ge-4/0/2||||0|RLGHNCMALR4||CIENA NTE|10.204.201.66|||||26||||||
143.0.68.173/0/0/1|143.0.68.173/0/0/1|143.0.68.173/0/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|||||M102N/GE1N/DYBHFLMCV02/DYBHFLMCV13|JUNIPER MX SERIES||||ge-0/0/1||||0|||||||||||||||
8.8.0.154/5/3/7|8.8.0.154/5/3/7|8.8.0.154/5/3/7|NFO-MOBILITY|NTE|IPAG|true|S|||||A101Z/GE1N/CRCYNVAA56W/CRCYNVHD4AW|JUNIPER MX SERIES||Y||ge-5/3/7||||0|CRCYNVHD4AW||CIENA NTE|10.204.90.201|||||10||||||
149.0.3.196/0/2/5|149.0.3.196/0/2/5|149.0.3.196/0/2/5|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAD01/CRCYNVMAUU7|JUNIPER MX SERIES||Y||ge-0/2/5||||0|CRCYNVMAUU7||CIENA NTE|10.204.85.21|||||9||||||
10.144.0.155/1/3/9|10.144.0.155/1/3/9|10.144.0.155/1/3/9|ETHERNET-NFO|IPAG|IPAG|true|S|||||101/GE1N/SNTCCA010KW/SNTCCA0111W|JUNIPER MX SERIES||||ge-1/3/9||||0|SNTCCA010KW||CISCO 2800 SERIES|192.168.112.118||192.168.114.92|||GigabitEthernet0/1/0||||||
12.123.80.212/0/0/3|12.123.80.212/0/0/3|12.123.80.212/0/0/3|NFO-MOBILITY|NTE|IPAG|true|S|||||101/GE1N/SNJSCAHUDK1/SNJSCAHUSS1|JUNIPER MX SERIES||Y||ge-0/0/3||||0|SNJSCAHUSS1||CIENA NTE|10.204.80.201|||||25||||||
12.123.80.214/2/0/7|12.123.80.214/2/0/7|12.123.80.214/2/0/7|NFO-MOBILITY|NTE|IPAG|true|S|||||R101T/GE1N/SNJSCAHUDK3/SNJSCAHUTJ5|JUNIPER MX SERIES||N||ge-2/0/7||||0|SNJSCAHUTJ5||CIENA NTE|10.204.81.31|||||25||||||
150.0.0.89/1/3/1|150.0.0.89/1/3/1|150.0.0.89/1/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|||||103/GE1N/RENONVYAPFR/RENONVYAPLR|JUNIPER MX SERIES||||ge-1/3/1||ae24|143.0.17.161|0|RENONVYAPLR||JUNIPER MX SERIES|10.204.241.36|12.122.129.79|148.0.131.253|10|1/0|ge-4/1/0||||||
8.8.0.172/5/0/7|8.8.0.172/5/0/7|8.8.0.172/5/0/7|NFO-MOBILITY|NTE|IPAG|true|S|||||P101S/GE1N/CRCYNVAA27N/CRCYNVAA61W|JUNIPER MX SERIES||Y||ge-5/0/7||||1|CRCYNVAA27N||CIENA NTE|10.204.90.188|||||25||||||
148.0.131.182/4/0/7|148.0.131.182/4/0/7|148.0.131.182/4/0/7|NFO-MOBILITY|NTE|IPAG|true|S|||||101/GE1N/RENONVYAOPU/RENONVYAY3Q|JUNIPER MX SERIES||Y||ge-4/0/7||||1|RENONVYAOPU||CIENA NTE|10.204.82.128|||||25||||||
12.80.72.121/4/3/3|12.80.72.121/4/3/3|12.80.72.121/4/3/3|ETHERNET-NFO|IPAG|IPAG|true|B|||||A101P/GE1N/ORLDFL2589G/ORLDFL2589P|JUNIPER MX SERIES||||ge-4/3/3||ae0|12.82.75.201|1|ORLDFL2589G||JUNIPER MX SERIES|10.204.247.136|12.123.75.225|12.80.72.126|9|0/9|ge-0/0/9||||||
12.123.80.15/0/0/1|12.123.80.15/0/0/1|12.123.80.15/0/0/1|NFO-MOBILITY|NTE|IPAG|true|B|||||101/GE1N/ORLDFL3201R/ORLDFL321IP|JUNIPER MX SERIES||Y||ge-0/0/1||||0|ORLDFL3201R||CIENA NTE|10.204.65.157|||||25||||||
150.0.0.232/0/0/1|150.0.0.232/0/0/1|150.0.0.232/0/0/1|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAL01/CRCYNVMAL25|JUNIPER MX SERIES||Y||ge-0/0/1||||0|CRCYNVMAL25||CIENA NTE|10.204.84.125|||||25||||||
150.0.0.89/2/2/0|150.0.0.89/2/2/0|150.0.0.89/2/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||F104S/GE1N/RENONVYAPFR/RENONVYAPLR|JUNIPER MX SERIES||||ge-2/2/0||ae25|143.0.17.169|0|RENONVYAPLR||JUNIPER MX SERIES|10.204.241.36|12.122.129.79|148.0.131.253|20|2/0|ge-4/2/0||||||
143.0.68.43/0/0/1|143.0.68.43/0/0/1|143.0.68.43/0/0/1|NFO-MOBILITY|NTE|IPAG|true|S|||||JU102/GE1N/CRCYNVMAL08/CRCYNVMAW71|JUNIPER MX SERIES||Y||ge-0/0/1||||0|CRCYNVMAL08||CIENA NTE|10.204.84.23|||||25||||||
10.144.0.137/3/3/4|10.144.0.137/3/3/4|10.144.0.137/3/3/4|ETHERNET-NFO|IPAG|IPAG|true|B|||||P102J/GE1N/ORLDFLMA5OA/ORLDFLMA51W|JUNIPER MX SERIES||||ge-3/3/4||ae30|143.1.196.97|1|ORLDFLMA5OA||JUNIPER MX SERIES|10.204.242.157|12.122.130.153|10.0.38.82|2|0/2|ge-0/0/2||||||
10.144.0.137/1/1/4|10.144.0.137/1/1/4|10.144.0.137/1/1/4|NFO-MOBILITY|NTE|IPAG|true|B|||||JU103/GE1N/ORLDFLMA103/ORLDFLMA51W|JUNIPER MX SERIES||N||ge-1/1/4||||0|ORLDFLMA103||CIENA NTE|10.204.66.254|||||9||||||
143.0.68.72/1/0/3|143.0.68.72/1/0/3|143.0.68.72/1/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU107/GE1N/JCVLFLSEH05/JCVLFLSEN07|JUNIPER MX SERIES||||ge-1/0/3||ae1||0|JCVLFLSEH05||CIENA EMUX|10.204.161.8|||||23||||||
143.0.68.170/0/3/9|143.0.68.170/0/3/9|143.0.68.170/0/3/9|ETHERNET-NFO|IPAG|IPAG|true|B|||||110/GE1N/DYBHFLMA3A8/DYBHFLMB2MX|JUNIPER MX SERIES||||ge-0/3/9||ae34|143.1.198.125|1|DYBHFLMA3A8||JUNIPER MX SERIES|10.204.243.127|12.122.131.118|143.0.68.254|1|0/1|ge-1/0/1||||||
143.0.68.248/1/0/3|143.0.68.248/1/0/3|143.0.68.248/1/0/3|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMA308/DYBHFLMA931|JUNIPER MX SERIES||N||ge-1/0/3||||0|DYBHFLMA931||CIENA NTE|10.204.11.158|||||9||||||
150.0.0.168/5/1/3|150.0.0.168/5/1/3|150.0.0.168/5/1/3|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAI41/CRCYNVMAT28|JUNIPER MX SERIES||Y||ge-5/1/3||||0|CRCYNVMAT28||CIENA NTE|10.204.83.176|||||9||||||
10.144.0.137/3/1/5|10.144.0.137/3/1/5|10.144.0.137/3/1/5|NFO-MOBILITY|NTE|IPAG|true|B|||||F101S/GE1N/ORLDFLMA4R4/ORLDFLMA51W|JUNIPER MX SERIES||Y||ge-3/1/5||||0|ORLDFLMA4R4||CIENA NTE|10.204.67.65|||||9||||||
143.0.68.248/1/2/1|143.0.68.248/1/2/1|143.0.68.248/1/2/1|NFO-MOBILITY|NTE|IPAG|true|B|||||R101T/GE1N/DYBHFLMA308/DYBHFLMA408|JUNIPER MX SERIES||N||ge-1/2/1||||0|DYBHFLMA408||CIENA NTE|10.204.11.201|||||9||||||
143.0.68.242/3/0/5|143.0.68.242/3/0/5|143.0.68.242/3/0/5|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/GSVLFLANH02/GSVLFLANJU7|JUNIPER MX SERIES||N||ge-3/0/5||||0|GSVLFLANJU7||CIENA NTE|10.204.132.180|||||9||||||
10.144.0.147/4/3/9|10.144.0.147/4/3/9|10.144.0.147/4/3/9|NFO-MOBILITY|NTE|IPAG|true|B|||||JU102/GE1N/ORLDFLPH51W/ORLGFLHJH01|JUNIPER MX SERIES||Y||ge-4/3/9||||0|ORLGFLHJH01||CIENA NTE|10.204.66.239|||||9||||||
12.123.80.214/0/0/5|12.123.80.214/0/0/5|12.123.80.214/0/0/5|NFO-MOBILITY|NTE|IPAG|true|S|||||101/GE1N/SNJSCAHUDH4/SNJSCAHUDK3|JUNIPER MX SERIES||Y||ge-0/0/5||||0|SNJSCAHUDH4||CIENA NTE|10.204.80.207|||||25||||||
12.80.72.33/0/3/1|12.80.72.33/0/3/1|12.80.72.33/0/3/1|NFO-MOBILITY|NTE|IPAG|true|B|||||A101P/GE1N/RLGHNCMA121/RLGHNCMA6T4|JUNIPER MX SERIES||Y||ge-0/3/1||||0|RLGHNCMA6T4||CIENA NTE|10.204.200.230|||||25||||||
143.0.68.242/3/0/1|143.0.68.242/3/0/1|143.0.68.242/3/0/1|NFO-MOBILITY|NTE|IPAG|true|B|||||JU102/GE1N/GSVLFLANH02/GSVLFLANI56|JUNIPER MX SERIES||Y||ge-3/0/1||||0|GSVLFLANI56||CIENA NTE|10.204.132.168|||||9||||||
148.0.131.182/1/0/1|148.0.131.182/1/0/1|148.0.131.182/1/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|||||106/GE1N/CRCYNVAABGA/RENONVYAY3Q|JUNIPER MX SERIES||||ge-1/0/1||ae27|143.0.17.85|1|CRCYNVAABGA||JUNIPER MX SERIES|12.122.123.191|12.122.128.253|148.0.131.159|12|1/2|ge-0/1/2||||||
149.0.3.196/0/0/2|149.0.3.196/0/0/2|149.0.3.196/0/0/2|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAD01/CRCYNVMA3C2|JUNIPER MX SERIES||N||ge-0/0/2||||0|CRCYNVMA3C2||CIENA NTE|10.204.84.234|||||9||||||
143.0.68.240/4/2/0|143.0.68.240/4/2/0|143.0.68.240/4/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||102/GE1N/GSVLFLANAC1/GSVLFLANKBP|JUNIPER MX SERIES||||ge-4/2/0||ae4||0|GSVLFLANKBP||CIENA EMUX|10.204.132.176|||||24||||||
10.144.0.154/3/1/0|10.144.0.154/3/1/0|10.144.0.154/3/1/0|NFO-MOBILITY|NTE|IPAG|true|S|||||JU104/GE1N/SNJLCABQ0AW/SNJSCA02W31|JUNIPER MX SERIES||Y||ge-3/1/0||||0|SNJLCABQ0AW||CIENA NTE|10.204.1.118|||||25||||||
10.144.0.137/3/0/6|10.144.0.137/3/0/6|10.144.0.137/3/0/6|ETHERNET-NFO|IPAG|IPAG|true|B|||||110/GE1N/ORLDFLMA011/ORLDFLMA51W|JUNIPER MX SERIES||||ge-3/0/6||ae41|143.1.196.217|1|ORLDFLMA011||JUNIPER MX SERIES|10.204.242.123|12.122.130.119|10.0.38.78|2|0/2|ge-5/0/2||||||
149.0.3.223/1/0/7|149.0.3.223/1/0/7|149.0.3.223/1/0/7|ETHERNET-NFO|IPAG|IPAG|true|B|||||110/GE1N/DYBHFLMAL08/DYBHFLMAL10|JUNIPER MX SERIES||||ge-1/0/7||ae28|143.1.197.29|1|DYBHFLMAL08||JUNIPER MX SERIES|10.204.242.143|12.122.130.139|149.0.3.222|7|0/7|ge-1/0/7||||||
149.0.3.196/0/2/6|149.0.3.196/0/2/6|149.0.3.196/0/2/6|ETHERNET-NFO|IPAG|IPAG|true|S|||||105/GE1N/CRCYNVMAD01/CRCYNVMAD92|JUNIPER MX SERIES||||ge-0/2/6||ae23|143.1.196.137|0|CRCYNVMAD92||JUNIPER MX SERIES|10.204.242.181|12.122.130.177|149.0.3.250|2|0/2|ge-5/0/2||||||
149.0.3.216/0/0/3|149.0.3.216/0/0/3|149.0.3.216/0/0/3|NFO-MOBILITY|NTE|IPAG|true|S|||||JU102/GE1N/CRCYNVMAD05/CRCYNVMA7W2|JUNIPER MX SERIES||Y||ge-0/0/3||||0|CRCYNVMA7W2||CIENA NTE|10.204.85.96|||||9||||||
150.0.0.147/2/0/0|150.0.0.147/2/0/0|150.0.0.147/2/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||K102F/GE1N/CRCYNVMAE04/CRCYNVMAI17|JUNIPER MX SERIES||||ge-2/0/0||ae0||0|CRCYNVMAE04||CIENA EMUX|10.204.82.201|||||22||||||
149.0.3.223/5/0/1|149.0.3.223/5/0/1|149.0.3.223/5/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|||||101/GE1N/DYBHFLMAL08/DYBHFLMAL10|JUNIPER MX SERIES||||ge-5/0/1||ae20|143.1.196.193|1|DYBHFLMAL08||JUNIPER MX SERIES|10.204.242.143|12.122.130.139|149.0.3.222|1|0/1|ge-5/0/1||||||
143.0.68.240/2/0/4|143.0.68.240/2/0/4|143.0.68.240/2/0/4|NFO-MOBILITY|NTE|IPAG|true|B|||||JU102/GE1N/GSVLFLANAC1/GSVLFLANRUI|JUNIPER MX SERIES||Y||ge-2/0/4||||0|GSVLFLANRUI||CIENA NTE|10.204.132.142|||||9||||||
143.0.24.144/4/0/1|143.0.24.144/4/0/1|143.0.24.144/4/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|||||P107J/GE10/GSVLFLAN1EW/GSVLFLAN2EW|JUNIPER MX SERIES||||xe-4/0/1||ae2||0|GSVLFLAN1EW||CIENA EMUX|10.204.132.219|||||3.1||||||
149.0.3.222/1/0/8|149.0.3.222/1/0/8|149.0.3.222/1/0/8|ETHERNET-NFO|IPAG|IPAG|true|B|||||102/GE1N/DYBHFLMAL08/DYBHFLMAVLR|JUNIPER MX SERIES||||ge-1/0/8||ae31|143.1.197.77|0|DYBHFLMAVLR||JUNIPER MX SERIES|10.204.243.2|12.122.130.249|143.0.68.136|0|0/0|ge-0/0/0||||||
149.0.3.194/2/0/3|149.0.3.194/2/0/3|149.0.3.194/2/0/3|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAD06/CRCYNVMAZ91|JUNIPER MX SERIES||N||ge-2/0/3||||0|CRCYNVMAZ91||CIENA NTE|10.204.85.80|||||9||||||
12.82.0.62/1/1/6|12.82.0.62/1/1/6|12.82.0.62/1/1/6|NFO-MOBILITY|NTE|IPAG|true|B|||||S102G/GE1N/ORLDFL24AS2/ORLDFL24Q10|JUNIPER MX SERIES||N||ge-1/1/6||||1|ORLDFL24AS2||CIENA NTE|10.204.200.97|||||25||||||
149.0.3.194/1/0/0|149.0.3.194/1/0/0|149.0.3.194/1/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||JP102/GE10/CRCYNVAA6EH/CRCYNVMAD06|JUNIPER MX SERIES||||xe-1/0/0||||0|||||||||||||||
143.0.68.35/1/1/9|143.0.68.35/1/1/9|143.0.68.35/1/1/9|ETHERNET-NFO|IPAG|IPAG|true|S|||||W112E/GE1N/CRCYNVMAH01/CRCYNVMAH02|JUNIPER MX SERIES||||ge-1/1/9||ae22|149.0.30.237|1|CRCYNVMAH01||JUNIPER MX SERIES|10.204.242.45|12.122.129.222|149.9.0.28|16|1/6|ge-5/1/6||||||
150.0.0.23/4/0/0|150.0.0.23/4/0/0|150.0.0.23/4/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||JU105/GE1N/CRCYNVAA03T/CRCYNVAA15T|JUNIPER MX SERIES||Y||ge-4/0/0||||0|CRCYNVAA15T||CIENA NTE|10.204.81.199|||||25||||||
12.123.80.214/1/0/3|12.123.80.214/1/0/3|12.123.80.214/1/0/3|NFO-MOBILITY|NTE|IPAG|true|S|||||S101F/GE1N/SNJSCAHUDK3/SNJSCAHULP6|JUNIPER MX SERIES||Y||ge-1/0/3||||0|SNJSCAHULP6||CIENA NTE|10.204.80.240|||||25||||||
149.0.3.222/5/0/7|149.0.3.222/5/0/7|149.0.3.222/5/0/7|ETHERNET-NFO|IPAG|IPAG|true|B|||||103/GE1N/DYBHFLMAL08/DYBHFLMAL10|JUNIPER MX SERIES||||ge-5/0/7||ae22|143.1.196.209|0|DYBHFLMAL10||JUNIPER MX SERIES|10.204.242.144|12.122.130.140|149.0.3.223|7|0/7|ge-5/0/7||||||
12.123.80.212/2/0/2|12.123.80.212/2/0/2|12.123.80.212/2/0/2|NFO-MOBILITY|NTE|IPAG|true|S|||||101/GE1N/SNJSCAHUDK1/SNJSCAHU02B|JUNIPER MX SERIES||Y||ge-2/0/2||||0|SNJSCAHU02B||CIENA NTE|10.204.81.20|||||25||||||
149.0.3.223/5/2/5|149.0.3.223/5/2/5|149.0.3.223/5/2/5|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMAFG1/DYBHFLMAL10|JUNIPER MX SERIES||Y||ge-5/2/5||||0|DYBHFLMAFG1||CIENA NTE|10.204.10.146|||||9||||||
