@ref(networkElement)|@const(IpagDevice)class
@index(CE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|customer_number|device_model|device_name|device_role|device_type|ipaddress|ineffect|loopback_ipaddr|mcn|mobility_ind|multi_nni|multi_uni|mpa_ind|provision_status|ptnii|subscriber_name|multitenantind
10.204.90.108|10.204.90.108|10.204.90.108|NFO-MOBILITY|NTE|NTE|true|S|ABC-901C010249|901C010249|LE311V|CRCYNVAAP29||CIENA NTE|10.204.90.108|Y|||N|N|Y|N|IN-SERVICE||901C010249ABC_901C010249_ABC|N
10.204.65.29|10.204.65.29|10.204.65.29|NFO-EMUX|EMUX|NTE|true|B|||CN5140|ORLDFL32GFY|LOOP|CIENA EMUX|10.204.65.29||||N|||N|IN-SERVICE|||
10.204.201.68|10.204.201.68|10.204.201.68|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL24SL2||CIENA NTE|10.204.201.68|N|||N|N|N|N|IN-SERVICE|||
10.204.90.224|10.204.90.224|10.204.90.224|NFO-MOBILITY|NTE|NTE|true|S|||CN3960|CRCYNVHE5AW||CIENA NTE|10.204.90.224|N|||N|N|N|N|IN-SERVICE|||
10.204.11.105|10.204.11.105|10.204.11.105|NFO-MOBILITY|NTE|NTE|true|B|||CN3960|DYBHFLMCY7A||CIENA NTE|10.204.11.105|Y|||Y|N|N|N|IN-SERVICE|||N
10.204.67.185|10.204.67.185|10.204.67.185|NFO-MOBILITY|NTE|NTE|true|B|650-901C010249|901C010249|CN3930|DYBHFLMCN30||CIENA NTE|10.204.67.185|Y||901C01024|Y|N|N|N|IN-SERVICE||SANITY_901C010249_650|N
10.204.85.19|10.204.85.19|10.204.85.19|NFO-MOBILITY|NTE|NTE|true|S|452-904C010249|904C010249|CN3930|CRCYNVMADS1||CIENA NTE|10.204.85.19|Y||904C01024|Y|N|N|N|IN-SERVICE||Sanity_904C010249_452_904C010249_452|N
10.204.9.179|10.204.9.179|10.204.9.179|NFO-EMUX|EMUX|NTE|true|B|||CN3940|DYBHFLMA002|CO|CIENA EMUX|10.204.9.179||||N|||N|IN-SERVICE|||
10.204.90.189|10.204.90.189|10.204.90.189|NFO-MOBILITY|NTE|NTE|true|S|ABC-901C010249|901C010249|LE311V|CRCYNVAA28N||CIENA NTE|10.204.90.189|Y|||N|N|N|N|IN-SERVICE||Saras Day Care_901C010249_ABC|N
10.204.9.64|10.204.9.64|10.204.9.64|NFO-MOBILITY|NTE|NTE|true|B|TPM-904N010175|904N010175|LE311V|DYBHFLMAWAM||CIENA NTE|10.204.9.64|Y||904N01017|N|N|N|N|IN-SERVICE||TCG-TEST_904N010175_TPM|N
10.204.9.67|10.204.9.67|10.204.9.67|NFO-MOBILITY|NTE|NTE|true|B|ATX-904N130200|904N130200|CN3960|DYBHFLMAWB5||CIENA NTE|10.204.9.67|Y||904N13020|N|N|N|N|IN-SERVICE||ECRM TEST - ZELLER INC_904N130200_ATX|N
10.204.82.128|10.204.82.128|10.204.82.128|NFO-MOBILITY|NTE|NTE|true|S|452-904C010249|904C010249|LE311V|RENONVYAOPU||CIENA NTE|10.204.82.128|Y||904C01024|N|N|N|N|IN-SERVICE||Priyanka_904C010249_452|N
10.204.84.23|10.204.84.23|10.204.84.23|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|LE311V|CRCYNVMAL08||CIENA NTE|10.204.84.23|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.65.63|10.204.65.63|10.204.65.63|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL32S3D||CIENA NTE|10.204.65.63|N|||N|N|N|N|IN-SERVICE|||
10.204.65.153|10.204.65.153|10.204.65.153|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|LE311V|ORLDFL32S54||CIENA NTE|10.204.65.153|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.90.157|10.204.90.157|10.204.90.157|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVAA82W||CIENA NTE|10.204.90.157|N|||N|N|N|N|IN-SERVICE|||
10.204.10.85|10.204.10.85|10.204.10.85|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|DYBHFLMCV62||CIENA NTE|10.204.10.85|N|||N|N|N|N|IN-SERVICE|||
10.204.132.151|10.204.132.151|10.204.132.151|NFO-EMUX|EMUX|NTE|true|B|||CN5140|GSVLFLANZM1|CO|CIENA EMUX|10.204.132.151||||N|||N|IN-SERVICE|||
10.204.65.32|10.204.65.32|10.204.65.32|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL32666||CIENA NTE|10.204.65.32|N|||N|N|N|N|IN-SERVICE|||
10.204.67.78|10.204.67.78|10.204.67.78|NFO-MOBILITY|NTE|NTE|true|B|ZXL-407N133001|407N133001|CN3930|ORLGFLFGH01||CIENA NTE|10.204.67.78|Y|||N|N|N|N|IN-SERVICE||407N133001ZXL_407N133001_ZXL|N
10.204.67.188|10.204.67.188|10.204.67.188|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|LE311V|ORLDFLIDH04||CIENA NTE|10.204.67.188|Y||901C01024|Y|N|N|N|IN-SERVICE||Saras Day Care_901C010249_AWL|N
10.204.11.170|10.204.11.170|10.204.11.170|NFO-MOBILITY|NTE|NTE|true|B|650-901C010249|901C010249|CN3931|DYBHFLMA30X||CIENA NTE|10.204.11.170|Y||901C01024|Y|N|N|N|IN-SERVICE||SANITY_901C010249_650|N
10.204.67.31|10.204.67.31|10.204.67.31|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|ORLDFLMAMKG||CIENA NTE|10.204.67.31|N|||N|N|N|N|IN-SERVICE|||
10.204.11.27|10.204.11.27|10.204.11.27|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|DYBHFLMB76T||CIENA NTE|10.204.11.27|N|||N|N|N|N|IN-SERVICE|||
10.204.90.243|10.204.90.243|10.204.90.243|NFO-EMUX|EMUX|NTE|true|S|||CN3940|CRCYNVAAE17|CO|CIENA EMUX|10.204.90.243||||N|||N|IN-SERVICE|||
10.204.81.143|10.204.81.143|10.204.81.143|NFO-MOBILITY|NTE|NTE|true|S|PUN-904C010249|904C010249|LE311V|SNJSCAHUHLE||CIENA NTE|10.204.81.143|Y||904C01024|N|N|N|N|IN-SERVICE||Jitendra_904C010249_PUN|N
10.204.132.205|10.204.132.205|10.204.132.205|NFO-EMUX|EMUX|NTE|true|B|||CN5150|GSVLFLANHC1|LOOP|CIENA EMUX|10.204.132.205||||N|||N|IN-SERVICE|||
10.204.65.126|10.204.65.126|10.204.65.126|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL32ZX1||CIENA NTE|10.204.65.126|N|||N|N|N|N|IN-SERVICE|||
10.204.90.251|10.204.90.251|10.204.90.251|NFO-EMUX|EMUX|NTE|true|S|||CN3940|CRCYNVAAE33|CO|CIENA EMUX|10.204.90.251||||N|||N|IN-SERVICE|||
10.204.9.111|10.204.9.111|10.204.9.111|NFO-MOBILITY|NTE|NTE|true|B|ABC-904C010249|904C010249|CN3960|DYBHFLMAWOK||CIENA NTE|10.204.9.111|Y|||Y|N|N|N|IN-SERVICE||ABHAY_904C010249_ABC|N
10.204.85.55|10.204.85.55|10.204.85.55|NFO-MOBILITY|NTE|NTE|true|S|650-901C010249|901C010249|CN3931|CRCYNVMAZSB||CIENA NTE|10.204.85.55|Y||901C01024|Y|Y|Y|N|IN-SERVICE||Apple Inc_901C010249_650|N
10.204.132.130|10.204.132.130|10.204.132.130|NFO-EMUX|EMUX|NTE|true|B|||CN3940|GSVLFLAN01T|CO|CIENA EMUX|10.204.132.130||||N|||N|IN-SERVICE|||
10.204.17.33|10.204.17.33|10.204.17.33|NFO-EMUX|EMUX|NTE|true|S|||CN3940|ANHMCAMCH01|CO|CIENA EMUX|10.204.17.33||||N|||N|IN-SERVICE|||
10.204.66.72|10.204.66.72|10.204.66.72|NFO-MOBILITY|NTE|NTE|true|B|25-901C010249|901C010249|LE311V|ORLDFL32A57||CIENA NTE|10.204.66.72|N|||N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_25|N
10.204.11.238|10.204.11.238|10.204.11.238|NFO-MOBILITY|NTE|NTE|true|B|452-904C010249|904C010249|CN3931|DYBHFLMCJHT||CIENA NTE|10.204.11.238|Y||904C01024|Y|N|N|N|IN-SERVICE||Priyanka_904C010249_452|N
